make,model,year,cylinders,displ,fuelType,VClass,mpg
32,4864,1993,8.0,1.4465480831175732,12,22,13
32,4864,1993,8.0,1.4465480831175732,12,22,13
32,4864,1993,8.0,1.9696172661946836,12,22,12
32,4864,1993,8.0,1.9696172661946836,12,22,11
32,4865,1993,8.0,1.4465480831175732,12,22,12
32,4865,1993,8.0,1.4465480831175732,12,22,13
25,4432,1985,8.0,2.193789773227731,1,15,18
32,4865,1993,8.0,1.9696172661946836,12,22,12
32,4865,1993,8.0,1.9696172661946836,12,22,11
62,1442,1993,4.0,-0.5710044801798522,12,22,19
62,1442,1993,4.0,-0.5710044801798522,12,22,19
62,1442,1993,6.0,0.5498580549853841,12,22,16
62,1442,1993,6.0,0.5498580549853841,12,22,17
42,2071,1993,6.0,1.222375576084526,12,22,14
42,2071,1993,6.0,1.222375576084526,12,22,15
42,2071,1993,6.0,1.222375576084526,12,22,15
42,2071,1993,8.0,1.2970997450955415,12,22,14
25,3903,1985,4.0,-0.5710044801798522,12,15,20
42,2071,1993,8.0,1.2970997450955415,12,22,14
42,2071,1993,8.0,1.2970997450955415,12,22,13
42,2071,1993,8.0,1.2970997450955415,12,22,13
42,2071,1993,8.0,1.8948930971836675,12,22,12
42,3828,1993,4.0,-0.7204528182018839,12,22,21
42,3828,1993,6.0,-0.19738363512477344,12,22,18
42,3828,1993,6.0,-0.19738363512477344,12,22,18
42,3828,1993,6.0,0.5498580549853841,12,22,17
42,3828,1993,6.0,0.5498580549853841,12,22,18
43,4216,1993,6.0,0.7740305620184312,12,22,15
25,3903,1985,4.0,-0.5710044801798522,12,15,21
43,4216,1993,6.0,0.7740305620184312,12,22,15
43,4216,1993,6.0,0.7740305620184312,12,22,16
43,4216,1993,8.0,1.2970997450955415,12,22,14
43,4216,1993,8.0,1.2970997450955415,12,22,13
43,4216,1993,8.0,1.820168928172652,12,22,13
43,4216,1993,8.0,1.820168928172652,12,22,13
43,4216,1993,8.0,1.820168928172652,12,22,12
43,4216,1993,8.0,2.193789773227731,1,22,17
43,4219,1993,6.0,0.7740305620184312,12,22,15
43,4219,1993,6.0,0.7740305620184312,12,22,14
25,3903,1985,4.0,-0.5710044801798522,12,15,22
43,4219,1993,6.0,0.7740305620184312,12,22,15
43,4219,1993,8.0,1.2970997450955415,12,22,14
43,4219,1993,8.0,1.2970997450955415,12,22,13
43,4219,1993,8.0,1.820168928172652,12,22,13
43,4219,1993,8.0,1.820168928172652,12,22,13
43,4219,1993,8.0,1.820168928172652,12,22,12
43,4219,1993,8.0,2.193789773227731,1,22,17
43,4334,1993,6.0,0.7740305620184312,8,22,16
43,4334,1993,6.0,0.7740305620184312,12,22,16
43,4334,1993,6.0,0.7740305620184312,12,22,16
32,1435,1985,4.0,-1.3182461702900097,12,28,34
25,3903,1985,6.0,-0.3468319731468051,12,15,18
58,3399,1993,4.0,-0.4962803111688364,12,22,17
58,3399,1993,6.0,-0.12265946611375764,12,22,15
89,4673,1993,4.0,-0.645728649190868,12,22,17
89,4673,1993,4.0,-0.645728649190868,12,22,18
89,4673,1993,6.0,-0.19738363512477344,12,22,17
83,974,1993,4.0,-0.4962803111688364,12,22,17
83,974,1993,4.0,-0.4962803111688364,12,22,17
134,4675,1993,4.0,-0.645728649190868,12,22,17
134,4675,1993,4.0,-0.645728649190868,12,22,18
134,4675,1993,6.0,-0.19738363512477344,12,22,13
25,3903,1985,6.0,-0.3468319731468051,12,15,19
134,4675,1993,6.0,-0.19738363512477344,12,22,14
134,4675,1993,6.0,-0.19738363512477344,12,22,15
25,899,1993,6.0,0.7740305620184312,8,30,16
25,896,1993,6.0,0.7740305620184312,8,30,17
25,896,1993,6.0,0.7740305620184312,12,30,17
25,2219,1993,6.0,0.7740305620184312,12,30,17
25,2219,1993,8.0,1.2970997450955415,12,30,15
25,2219,1993,8.0,1.820168928172652,12,30,14
25,2231,1993,6.0,0.7740305620184312,12,30,16
25,2231,1993,8.0,1.820168928172652,12,30,14
25,3903,1985,6.0,-0.3468319731468051,12,15,18
32,952,1993,6.0,0.47513388597436823,12,30,14
32,952,1993,6.0,0.47513388597436823,12,30,15
32,952,1993,6.0,0.47513388597436823,12,30,14
32,952,1993,8.0,1.4465480831175732,12,30,12
32,952,1993,8.0,1.4465480831175732,12,30,13
32,952,1993,8.0,1.9696172661946836,12,30,13
32,982,1993,6.0,0.47513388597436823,12,30,14
32,982,1993,8.0,1.4465480831175732,12,30,13
32,982,1993,8.0,1.9696172661946836,12,30,12
42,811,1993,6.0,-0.19738363512477344,12,30,18
32,667,1985,8.0,1.4465480831175732,12,15,11
42,811,1993,6.0,-0.19738363512477344,12,30,19
42,811,1993,6.0,0.5498580549853841,12,30,17
42,812,1993,6.0,0.5498580549853841,12,30,17
42,1684,1993,6.0,1.222375576084526,12,30,14
42,1684,1993,6.0,1.222375576084526,12,30,15
42,1684,1993,8.0,1.2970997450955415,12,30,14
42,1684,1993,8.0,1.2970997450955415,12,30,14
42,1684,1993,8.0,1.8948930971836675,12,30,12
42,1688,1993,6.0,1.222375576084526,12,30,13
42,1688,1993,6.0,1.222375576084526,12,30,14
32,667,1985,8.0,1.4465480831175732,12,15,12
42,1688,1993,8.0,1.8948930971836675,12,30,11
43,4796,1993,6.0,0.7740305620184312,12,30,17
43,4796,1993,8.0,1.2970997450955415,12,30,15
43,4796,1993,8.0,1.820168928172652,12,30,14
43,4799,1993,6.0,0.7740305620184312,12,30,17
43,4799,1993,8.0,1.820168928172652,12,30,14
43,4087,1993,6.0,0.7740305620184312,8,30,16
43,4083,1993,6.0,0.7740305620184312,8,30,17
43,4083,1993,6.0,0.7740305620184312,12,30,17
25,901,1993,6.0,0.7740305620184312,8,30,15
32,667,1985,8.0,1.4465480831175732,12,15,13
25,898,1993,6.0,0.7740305620184312,8,30,16
25,898,1993,6.0,0.7740305620184312,12,30,17
25,4372,1993,6.0,0.7740305620184312,12,30,15
25,4372,1993,8.0,1.2970997450955415,12,30,13
25,4372,1993,8.0,1.820168928172652,12,30,13
25,4375,1993,8.0,1.820168928172652,12,30,13
32,953,1993,6.0,0.47513388597436823,12,30,14
